#;Titulo;Año;Autores;Citas;Editorial;URL;DOI;DOIcorto;Tipo;Editorial Oficial;Revista/Conferencia;;;;;
1;50 Summers of Computer Simulation;2019;"U Durak; A D'ambrogio; A Tolk; S Diallo; G Zacharewicz; J Risco-Martín; J Barhak; R Coolidge Huntsinger; M S Raunak";12;Springer;https://link.springer.com/chapter/10.1007/978-3-030-17164-3_1;http://dx.doi.org/10.1007/978-3-030-17164-3_1;10.1007/978-3-030-17164-3_1;book-chapter;Springer International Publishing;Simulation Foundations, Methods and Applications;68;;;;
2;A backplane approach for cosimulation in high-level system specification environments;1995;"S Schmerler; Y Tanurhan; KD Muller-Glaser";33;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/528554/;http://dx.doi.org/10.1109/eurdac.1995.528554;10.1109/eurdac.1995.528554;proceedings-article;IEEE Comput. Soc. Press;EURO-DAC. European Design Automation Conference;13;;;;
3;A brief history of time warp;2017;"D Jefferson; R Fujimoto";0;Springer;https://link.springer.com/chapter/10.1007/978-3-319-64182-9_7;http://dx.doi.org/10.1007/978-3-319-64182-9_7;10.1007/978-3-319-64182-9_7;book-chapter;Springer International Publishing;Simulation Foundations, Methods and Applications;67;;;;
4;A Bug Locating Method for the Debugging of Parallel Discrete Event Simulation;2012;"F Zhu; Y Yao";1;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/6305890/?casa_token=-gW_7N5sW-4AAAAA:gYKXfhJnqbl8evgyWTDkWIktNpMGcJFBXEMWu_mjSKBXQk7MyDZdwm5--Qz6DIOuNEzzGPab2A-I;http://dx.doi.org/10.1109/pads.2012.1;10.1109/pads.2012.1;proceedings-article;IEEE;2012 ACM/IEEE/SCS 26th Workshop on Principles of Advanced and Distributed Simulation (PADS);15;;;;
5;A Case Study in Distributing a SystemC Model;2009;"V Galiano; M Martínez; H Migallón; D Pérez-Caparrós; C Quesada";0;Springer;https://link.springer.com/chapter/10.1007/978-3-642-02481-8_14;http://dx.doi.org/10.1007/978-3-642-02481-8_14;10.1007/978-3-642-02481-8_14;book-chapter;Springer Berlin Heidelberg;Distributed Computing, Artificial Intelligence, Bioinformatics, Soft Computing, and Ambient Assisted Living;19;;;;
6;A case study of verification, validation, and accreditation for advanced distributed simulation;1997;"EH Page; BS Canova; JA Tufarolo";0;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/259207.259375;http://dx.doi.org/10.1145/259207.259375;10.1145/259207.259375;journal-article;Association for Computing Machinery (ACM);ACM Trans. Model. Comput. Simul.;48;;;;
7;A comparative study of adaptive risk vs. adaptive aggressiveness control in parallel and distributed simulation;1996;"DO Hamnes; A Tripathi";9;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/492156/?casa_token=tACrSawqtlcAAAAA:Si0abYlbf4h1TyUXaHaK8H7IbICvQxPGhBpqiRVmRI6p7mSmfIAWcaiWDxPalSWYzpmVFyv1cKxi;http://dx.doi.org/10.1109/simsym.1996.492156;10.1109/simsym.1996.492156;proceedings-article;IEEE Comput. Soc. Press;29th Annual Simulation Symposium;21;;;;
8;A comparative study of stampede garbage collection algorithms;2002;"HA Mandviwala; N Harel; K Knobe; U Ramachandran";1;Springer;https://link.springer.com/chapter/10.1007/11596110_17;http://dx.doi.org/10.1007/11596110_17;10.1007/11596110_17;book-chapter;Springer Berlin Heidelberg;Languages and Compilers for Parallel Computing;12;;;;
9;A comparison of interest manager mechanisms for agent-based simulations using a time warp executive;2008;"T He; M Hybinette";0;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/4545343/?casa_token=tqHyJ-sSTeMAAAAA:Nomfh9P0rJa3ch_VJ8HXyJ-Ta5ZvHR8XblIX4agx-kd8EFn5ygkOw6w5V_e1fTs5EfUwzorLp5MF;http://dx.doi.org/10.1109/pads.2008.22;10.1109/pads.2008.22;proceedings-article;IEEE;2008 ACM/IEEE/SCS Workshop on Principles of Advanced and Distributed Simulation ( PADS);14;;;;
10;A comparison of two methods for advancing time in parallel discrete event simulation;1995;"AP Galluscio; JT Douglass; BA Malloy; AJ Turner";0;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/224401.224703;http://dx.doi.org/10.1109/wsc.1995.478840;10.1109/wsc.1995.478840;proceedings-article;IEEE;1995 Winter Simulation Conference;14;;;;
11;A component model for discrete event simulation;2001;"BK Szyma?ski; G Chen";0;Springer;https://link.springer.com/chapter/10.1007/3-540-48086-2_64;http://dx.doi.org/10.1007/3-540-48086-2_64;10.1007/3-540-48086-2_64;book-chapter;Springer Berlin Heidelberg;Parallel Processing and Applied Mathematics;13;;;;
12;A conservative parallel simulation algorithm for entity-oriented modeling;1998;"CC Lim; YH Low; BP Gan";0;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/738018/;http://dx.doi.org/10.1109/hipc.1998.738018;10.1109/hipc.1998.738018;proceedings-article;IEEE Comput. Soc;Proceedings. Fifth International Conference on High Performance Computing;7;;;;
13;A dististributed simulation platform for cloud computing;2017;"H Rajaei; F Alotaibi; S Jamalian";2;scs.org;http://www.scs.org/wp-content/uploads/2017/06/14_Final_Manuscript-2.pdf;http://dx.doi.org/10.22360/springsim.2017.cns.014;10.22360/springsim.2017.cns.014;proceedings-article;Society for Modeling and Simulation International (SCS);2017 Spring Simulation Multi-Conference;0;;;;
14;A distributed simulation model of air traffic in the national airspace system;1995;"EL Blair; FP Wieland; AE Zukas";2;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/224401.224782;http://dx.doi.org/10.1109/wsc.1995.478970;10.1109/wsc.1995.478970;proceedings-article;IEEE;1995 Winter Simulation Conference;16;;;;
15;A fast hybrid time-synchronous/event approach to parallel discrete event simulation of queuing networks;2008;"H Park; PA Fishwick";0;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/4736142/;http://dx.doi.org/10.1109/wsc.2008.4736142;10.1109/wsc.2008.4736142;proceedings-article;IEEE;2008 Winter Simulation Conference (WSC);25;;;;
